"date","y","index"
2001-01-01,2505011,2001 Jan
2001-02-01,2156873,2001 Feb
2001-03-01,2086568,2001 Mar
2001-04-01,1663832,2001 Apr
2001-05-01,1385163,2001 May
2001-06-01,1313119,2001 Jun
2001-07-01,1459919,2001 Jul
2001-08-01,1528483,2001 Aug
2001-09-01,1360871,2001 Sep
2001-10-01,1507428,2001 Oct
2001-11-01,1561970,2001 Nov
2001-12-01,1965873,2001 Dec
2002-01-01,2319273,2002 Jan
2002-02-01,2090786,2002 Feb
2002-03-01,2096915,2002 Mar
2002-04-01,1734549,2002 Apr
2002-05-01,1470504,2002 May
2002-06-01,1453967,2002 Jun
2002-07-01,1602849,2002 Jul
2002-08-01,1582079,2002 Aug
2002-09-01,1408599,2002 Sep
2002-10-01,1506936,2002 Oct
2002-11-01,1766395,2002 Nov
2002-12-01,2214167,2002 Dec
2003-01-01,2532736,2003 Jan
2003-02-01,2346489,2003 Feb
2003-03-01,2041522,2003 Mar
2003-04-01,1603853,2003 Apr
2003-05-01,1379497,2003 May
2003-06-01,1240196,2003 Jun
2003-07-01,1464704,2003 Jul
2003-08-01,1512522,2003 Aug
2003-09-01,1299128,2003 Sep
2003-10-01,1417234,2003 Oct
2003-11-01,1616154,2003 Nov
2003-12-01,2108690,2003 Dec
2004-01-01,2512844,2004 Jan
2004-02-01,2358946,2004 Feb
2004-03-01,1952607,2004 Mar
2004-04-01,1609746,2004 Apr
2004-05-01,1441557,2004 May
2004-06-01,1356266,2004 Jun
2004-07-01,1452339,2004 Jul
2004-08-01,1445892,2004 Aug
2004-09-01,1357712,2004 Sep
2004-10-01,1426546,2004 Oct
2004-11-01,1647979,2004 Nov
2004-12-01,2176020,2004 Dec
2005-01-01,2396713,2005 Jan
2005-02-01,2094357,2005 Feb
2005-03-01,2048169,2005 Mar
2005-04-01,1585188,2005 Apr
2005-05-01,1386917,2005 May
2005-06-01,1400018,2005 Jun
2005-07-01,1547608,2005 Jul
2005-08-01,1555887,2005 Aug
2005-09-01,1301829,2005 Sep
2005-10-01,1302758,2005 Oct
2005-11-01,1529693,2005 Nov
2005-12-01,2169754,2005 Dec
2006-01-01,2010926,2006 Jan
2006-02-01,1999359,2006 Feb
2006-03-01,1972165,2006 Mar
2006-04-01,1543302,2006 Apr
2006-05-01,1390353,2006 May
2006-06-01,1415134,2006 Jun
2006-07-01,1615241,2006 Jul
2006-08-01,1607830,2006 Aug
2006-09-01,1328565,2006 Sep
2006-10-01,1501925,2006 Oct
2006-11-01,1622364,2006 Nov
2006-12-01,1965718,2006 Dec
2007-01-01,2306943,2007 Jan
2007-02-01,2403778,2007 Feb
2007-03-01,1967388,2007 Mar
2007-04-01,1662412,2007 Apr
2007-05-01,1414428,2007 May
2007-06-01,1413254,2007 Jun
2007-07-01,1513157,2007 Jul
2007-08-01,1741755,2007 Aug
2007-09-01,1446674,2007 Sep
2007-10-01,1479110,2007 Oct
2007-11-01,1681149,2007 Nov
2007-12-01,2225994,2007 Dec
2008-01-01,2554281,2008 Jan
2008-02-01,2335770,2008 Feb
2008-03-01,2109623,2008 Mar
2008-04-01,1672724,2008 Apr
2008-05-01,1430242,2008 May
2008-06-01,1459015,2008 Jun
2008-07-01,1556011,2008 Jul
2008-08-01,1531863,2008 Aug
2008-09-01,1329726,2008 Sep
2008-10-01,1488645,2008 Oct
2008-11-01,1714971,2008 Nov
2008-12-01,2226478,2008 Dec
2009-01-01,2538368,2009 Jan
2009-02-01,2162215,2009 Feb
2009-03-01,1996245,2009 Mar
2009-04-01,1585512,2009 Apr
2009-05-01,1353150,2009 May
2009-06-01,1378772,2009 Jun
2009-07-01,1503321,2009 Jul
2009-08-01,1578354,2009 Aug
2009-09-01,1427135,2009 Sep
2009-10-01,1510867,2009 Oct
2009-11-01,1619852,2009 Nov
2009-12-01,2310875,2009 Dec
2010-01-01,2624217,2010 Jan
2010-02-01,2312746,2010 Feb
2010-03-01,1974222,2010 Mar
2010-04-01,1540128,2010 Apr
2010-05-01,1465089,2010 May
2010-06-01,1500962,2010 Jun
2010-07-01,1668244,2010 Jul
2010-08-01,1718550,2010 Aug
2010-09-01,1485061,2010 Sep
2010-10-01,1506234,2010 Oct
2010-11-01,1809151,2010 Nov
2010-12-01,2522442,2010 Dec
2011-01-01,2699039,2011 Jan
2011-02-01,2285465,2011 Feb
2011-03-01,2056105,2011 Mar
2011-04-01,1665278,2011 Apr
2011-05-01,1509295,2011 May
2011-06-01,1503845,2011 Jun
2011-07-01,1728010,2011 Jul
2011-08-01,1727907,2011 Aug
2011-09-01,1500242,2011 Sep
2011-10-01,1579772,2011 Oct
2011-11-01,1860159,2011 Nov
2011-12-01,2351937,2011 Dec
2012-01-01,2557465,2012 Jan
2012-02-01,2319221,2012 Feb
2012-03-01,1949890,2012 Mar
2012-04-01,1784460,2012 Apr
2012-05-01,1703507,2012 May
2012-06-01,1702557,2012 Jun
2012-07-01,1891318,2012 Jul
2012-08-01,1832775,2012 Aug
2012-09-01,1640347,2012 Sep
2012-10-01,1727393,2012 Oct
2012-11-01,1989660,2012 Nov
2012-12-01,2312832,2012 Dec
2013-01-01,2661816,2013 Jan
2013-02-01,2371983,2013 Feb
2013-03-01,2316191,2013 Mar
2013-04-01,1783603,2013 Apr
2013-05-01,1572373,2013 May
2013-06-01,1567216,2013 Jun
2013-07-01,1738157,2013 Jul
2013-08-01,1739436,2013 Aug
2013-09-01,1588718,2013 Sep
2013-10-01,1680814,2013 Oct
2013-11-01,2118508,2013 Nov
2013-12-01,2700111,2013 Dec
2014-01-01,2997145,2014 Jan
2014-02-01,2556038,2014 Feb
2014-03-01,2365293,2014 Mar
2014-04-01,1786764,2014 Apr
2014-05-01,1636202,2014 May
2014-06-01,1576508,2014 Jun
2014-07-01,1701744,2014 Jul
2014-08-01,1751644,2014 Aug
2014-09-01,1635485,2014 Sep
2014-10-01,1730740,2014 Oct
2014-11-01,2167984,2014 Nov
2014-12-01,2475535,2014 Dec
2015-01-01,2903574,2015 Jan
2015-02-01,2730693,2015 Feb
2015-03-01,2392542,2015 Mar
2015-04-01,1826933,2015 Apr
2015-05-01,1678755,2015 May
2015-06-01,1723906,2015 Jun
2015-07-01,1882675,2015 Jul
2015-08-01,1867936,2015 Aug
2015-09-01,1723960,2015 Sep
2015-10-01,1804380,2015 Oct
2015-11-01,2064029,2015 Nov
2015-12-01,2389902,2015 Dec
2016-01-01,2880714,2016 Jan
2016-02-01,2459545,2016 Feb
2016-03-01,2164467,2016 Mar
2016-04-01,1903501,2016 Apr
2016-05-01,1785885,2016 May
2016-06-01,1825125,2016 Jun
2016-07-01,2001036,2016 Jul
2016-08-01,2023229,2016 Aug
2016-09-01,1774412,2016 Sep
2016-10-01,1748897,2016 Oct
2016-11-01,1979957,2016 Nov
2016-12-01,2665391,2016 Dec
2017-01-01,2708217,2017 Jan
2017-02-01,2161185,2017 Feb
2017-03-01,2324198,2017 Mar
2017-04-01,1753578,2017 Apr
2017-05-01,1710548,2017 May
2017-06-01,1731387,2017 Jun
2017-07-01,1950510,2017 Jul
2017-08-01,1904112,2017 Aug
2017-09-01,1737701,2017 Sep
2017-10-01,1838965,2017 Oct
2017-11-01,2155805,2017 Nov
2017-12-01,2858509,2017 Dec
2018-01-01,3107734,2018 Jan
2018-02-01,2507085,2018 Feb
2018-03-01,2576005,2018 Mar
2018-04-01,2148089,2018 Apr
2018-05-01,1855856,2018 May
2018-06-01,1867447,2018 Jun
2018-07-01,2139037,2018 Jul
2018-08-01,2100482,2018 Aug
2018-09-01,1949898,2018 Sep
2018-10-01,2069201,2018 Oct
2018-11-01,2488282,2018 Nov
2018-12-01,2759042,2018 Dec
2019-01-01,3161732,2019 Jan
2019-02-01,2783640,2019 Feb
2019-03-01,2680848,2019 Mar
2019-04-01,1994279,2019 Apr
2019-05-01,1912779,2019 May
2019-06-01,1902995,2019 Jun
2019-07-01,2162450,2019 Jul
2019-08-01,2197474,2019 Aug
2019-09-01,1982049,2019 Sep
2019-10-01,2072599,2019 Oct
2019-11-01,2535754,2019 Nov
2019-12-01,2904407,2019 Dec
2020-01-01,3052335,2020 Jan
2020-02-01,2809540,2020 Feb
2020-03-01,2475096,2020 Mar
2020-04-01,2035122,2020 Apr
2020-05-01,1861283,2020 May
2020-06-01,1917555,2020 Jun
2020-07-01,2234989,2020 Jul
2020-08-01,2173203,2020 Aug
2020-09-01,1938029,2020 Sep
2020-10-01,2093493,2020 Oct
2020-11-01,2215375,2020 Nov
2020-12-01,2924939,2020 Dec
2021-01-01,3056278,2021 Jan
2021-02-01,2850394,2021 Feb
2021-03-01,2387023,2021 Mar
2021-04-01,2036708,2021 Apr
2021-05-01,1882870,2021 May
2021-06-01,2008918,2021 Jun
2021-07-01,2171329,2021 Jul
2021-08-01,2188822,2021 Aug
2021-09-01,1906377,2021 Sep
2021-10-01,2015381,2021 Oct
2021-11-01,2427617,2021 Nov
2021-12-01,2731775,2021 Dec
2022-01-01,3287895,2022 Jan
2022-02-01,2793006,2022 Feb
2022-03-01,2516726,2022 Mar
2022-04-01,2114010,2022 Apr
2022-05-01,1995895,2022 May
2022-06-01,2074067,2022 Jun
2022-07-01,2329216,2022 Jul
2022-08-01,2306262,2022 Aug
2022-09-01,2047010,2022 Sep
2022-10-01,2108275,2022 Oct
2022-11-01,2502928,2022 Nov
2022-12-01,3084994,2022 Dec
2023-01-01,3026049,2023 Jan
2023-02-01,2697017,2023 Feb
2023-03-01,2747231,2023 Mar
2023-04-01,2170302,2023 Apr
2023-05-01,2058921,2023 May
2023-06-01,2119058,2023 Jun
2023-07-01,2406370,2023 Jul
2023-08-01,2415973,2023 Aug
2023-09-01,2136052,2023 Sep
2023-10-01,2184994,2023 Oct
2023-11-01,2555269,2023 Nov
2023-12-01,2891823,2023 Dec
2024-01-01,3420059,2024 Jan
2024-02-01,2694733,2024 Feb
2024-03-01,2528578,2024 Mar
2024-04-01,2150217,2024 Apr
2024-05-01,2086595,2024 May
2024-06-01,2177855,2024 Jun
2024-07-01,2473603,2024 Jul
2024-08-01,2453521,2024 Aug
2024-09-01,2164723,2024 Sep
2024-10-01,2171789,2024 Oct
2024-11-01,2443970,2024 Nov
2024-12-01,3061078,2024 Dec
2025-01-01,3603768,2025 Jan
2025-02-01,2955796,2025 Feb
2025-03-01,2472873,2025 Mar
2025-04-01,2119147,2025 Apr
2025-05-01,2046864,2025 May
2025-06-01,2155206,2025 Jun
2025-07-01,2444069,2025 Jul
2025-08-01,2364950,2025 Aug
2025-09-01,2163601,2025 Sep
2025-10-01,2175423,2025 Oct
2025-11-01,2494113,2025 Nov
